Tagalog,Part of Speech,Definition
matimplahan,v,be able to add something (as an ingredient) to a mixture
matimtiman,adj,prudently reserved or modest (ref. to a woman)
matimyas,adj,"1. selected; choosen; 2. full (e.g. like a spike of grain, rice, etc.)"
matin-is,adj,1. shrill (in sound); 2. thin (voice)
matinag,v,be able to be moved
matindi,adj,1. serious (illness); 2. hard (blow); 3. strong (typhoon); 4. high (temperature); 5. heavy
matinding pagkapoot,comp,animosity; violent hatred
matinding sakit,comp,1. agony; intense pain (physical); 2. torture; very severe pain
matinga,v,have particles of food between the teeth
matinga,adj,having particles of food between the teeth
matingala,v,happen to look upwards
matingkad,adj,"1. bright (colour, US: color); 2. sharp (taste)"
matingnan,v,"happen to see, look at, etc."
matinik,v,be pricked by a thorn
matinik,adj,1. thorny; prickly; bony (e.g. fish); 2. difficult [fig.]
matining,adj,1. having plenty of sediments; 2. with the dregs settled down
matinis,adj,1. shrill (in sound); 2. thin (voice)
matino,adj,sensible; judicious; sane
matinta,adj,covered with ink; inky
matintahan,v,"be blotted, spotted or stained with ink"
matipak,v,be chopped off as from a large rock
matipid,adj,economical; frugal; thrifty
matipon,v,accumulate; collect
matipuno,adj,robust; sturdy; very strong and healthy
matipus,v,be infected with typhoid or typhus
matira,v,1. remain; be left; 2. be left unfinished/unused
matira,adj,having ability to endure hardships
matirahan,v,be able to reside in a certain locality
matirik,v,1. be erected or constructed; 2. stop on a road (vehicle) due to trouble
matirintas,v,be able to braid (one's hair)
matiris,v,"be able to crush, or be crushed with the thumbnails (lice, etc.)"
matisis,v,have tuberculosis
matisod,v,trip oneself; stumble
matistis,v,be able to operate on (surgically)
matitiis,adj,endurable; bearable
matitikan,v,be able to write on a certain surface
matitirahan,adj,habitable; fit to live in
matitirahan,n,accommodation; room for lodging
matiwalag,v,"be dismissed from an office, etc."
matiwalag,v,be separated (e.g. from one's family)
matiwarik,v,be turned upside down
matiwas,v,1. be able to tilt to one side; 2. be tilted to one side because of unbalanced
matiwasay,adj,1. calm; peaceful; 2. secure; 3. equable
matiyaga,adj,persevering; diligent; painstaking
matiyak,v,1. be certain; 2. insure; make sure
matiyanak,v,be bewitched by a small child living in the forest
matiyempuhan,v,be caught in the act of doing something
matiyempuhan,v,time the doing of something
matodas,v,"1. lose everything; be exterminated; 2. be consumed, lost, etc."
matoka,v,be assigned to a certain job
maton,n,bully; ruffian; browbeat
matong,n,basket (like harvesters carry on their hip or back)
matorpe,v,become so dull as to be unable to speak
matrabaho,v,be able to do or accomplish
matrabaho,adj,having plenty of work; busy
matraffic,adj,congested with traffic
matraffic,v,get caught in a traffic jam
matrapik,adj,congested with traffic
matrapik,v,get caught in a traffic jam
matrapiko,v,get caught in a traffic jam
matrapiko,adj,congested with traffic
matres,n,mattress
matrikula,n,matriculation; tuition fee
matrimonyo,n,matrimony
matrinserahan,v,be entrenched
matris,n,mould; form; matrix
matris,n,womb; uterus
matrona,n,matron
matsasko,v,meet with failure or disappointment
matsete,n,"machete (large, heavy knife)"
matsing,n,small monkey
matsismis,v,be gossiped about; be the subject of rumors
matsismis,adj,given to gossip
matsoke,v,1. be bumped (by another vehicle); 2. be pitted against a strong opponent
matsora,adj,barren; infertile (ref. to animals or fowls)
matter,n,matter
mattress,n,mattress
matubig,adj,1. watery; 2. wet; covered with water
matubigan,v,be or become filled with water
matubo,v,happen to make profit
matubo,adj,1. profitable; 2. productive
matubos,v,1. be able to be redeemed; be able to pay off; 2. be able to redeem from sin
matudla,v,"be shot by a firearm, arrow, etc."
matugnas,v,become melted or liquefied
matugon,v,be able to give the answer to something
matuhog,v,be pierced with a skewer or the like
matuka,v,1. be pecked (by a bird); 2. be bitten suddenly (e.g. by a snake)
matuklap,v,1. be detached; 2. scale off; 3. slough
matuklapan,v,1. be detached; 2. scale off; 3. slough
matuklasan,v,1. happen to find out; 2. find out about
matukso,v,"1. be tempted; be allured; 2. be teased, joked, etc."
matulad,v,be compared to
matulain,adj,poetic; sutiable for poems or poets
matulak,v,be pushed/shoved forward
matularan,v,be able to imitate or copy
matulig,v,be temporarily deafened or stunned by noise
matulin,adj,1. fast; quick; 2. swift; 3. fleet
matulin ang agos,comp,rapids
matulingag,v,be dazed or confused
matuliro,v,be dazed or confused
matulis,adj,pointed; sharp
matulog,v,1. sleep; slumber; 2. go to bed; go to sleep
matuloy,v,be able to continue; have the chance to continue
matulugan,v,be able to sleep on (ref. to a bed or the like)
matulugin,adj,inclined to sleep much
matulungan,v,be able to help (someone)
matulungin,adj,1. helpful; generous; 2. obliging; 3. co-operative; cooperative
matulusan,v,understand; fathom [fig.]
matulutan,v,be allowed or permitted
matuluyan,v,1. become unavoidable; 2. be forced (to do something)
matumal,adj,dull (said of business)
matumba,v,1. fall down; 2. become bankrupt
matunaw,v,1. melt; dissolve; liquefy; 2. digest (assimilate food in stomach)
matunganga,v,stare at someone rudely/stupidly
matunghay,v,happen to look up or raise one's head
matungkol,v,apply to; refer to
matungo,v,1. happen to bend one's head; 2. happen to look down
matungod,v,appertain to; pertain to; concern
matunog,adj,1. sonorous; resonant; 2. renowned; famous [fig.]
matunog na halik,comp,smack
matuos,v,"be able to amicably settle a dispute, etc."
matupad,v,1. be consummated; 2. become true; 3. be able to fulfil (US: fulfill)
matuparan,v,be able to render service on
matuparin,adj,"1. observant; 2. faithful in fulfilling one's duties, etc."
matupi,v,be folded
matupok,v,1. be burnt to ashes; 2. completely destroy the inside by fire
maturan,v,"1. be able to say, mention, etc.; 2. be able to guess a riddle"
maturingan,v,be able to guess or give the answer to a question/puzzle
maturingan,v,be able to quote a price for something
maturo,v,be pointed out as a suspect
maturo,v,be taught; be given as a lesson
maturok,v,be pierced/prickled by a pointed instrument
maturuan,v,1. teach; 2. educate; 3. enlighten; 4. train; discipline
matusing,v,become satiated from too many sweets
matusok,v,1. pierce; penetrate; 2. stick; stab
matuto,v,1. learn; 2. pick up; learn without teaching
matutog,v,be snuffed out or consumed (candles)
matutol,adj,having plenty of objections
matutop,v,detect; catch; be able to catch
matutuhan,v,1. find out; learn; 2. imbibe; 3. have experience
matututulan,adj,disputable; could be opposed
matuwa,v,1. enjoy; appreciate; 2. be pleased with
matuwad,v,happen to bend down with buttocks protruding
matuwain,adj,fond of; having a liking for
matuwid,adj,1. right; righteous; lawful; 2. straight; erect; upright
matuyo,v,1. be parched; 2. wither; 3. evaporate; 4. become consumptive
matuyot,v,atrophy; waste away physically
matuyuan ng laway,v,have one's saliva dried up in the mouth; be thirsty [fig.]
matwid,adj,1. right; righteous; lawful; 2. straight; erect; upright
matyag,n,surveillance
matyagan,v,observe; watch carefully
mauban,adj,1. gray-haired; 2. already old (ref. to a person)
maubliga,v,be/become obliged
maubos,v,1. be consumed; 2. be outworn
maubusan,v,run out of; use up
maudlot,v,be suddenly stopped or withdrawn
maudyukan,v,be incited/induced
mauga,v,be able to shake or move by shaking
mauga,adj,shaky; wobbly
maugat,adj,having many visible veins
maugong,adj,reverberating
mauhaw,v,1. be thirsty; be parched; 2. become thirsty; 3. thirst
mauhiya,v,"be a victim of ""the evil eye"""
maukilkil,adj,insistent; persistent
maukit,v,"be able to hollow out, carve or engrave"
maukit,v,be engraved in one's memory
maukol,v,1. pertain to; 2. be appropriate; 3. concern; 4. be intended for
maulan,adj,rainy
maulanan,v,get wet by rain
maulap,adj,1. cloudy; 2. foggy; 3. hazy; 4. overcast; gloomy
mauli,v,be reverted to a former state
maulila,v,be/become orphaned
mauling,adj,1. sooty; 2. smutty
maulinigan,v,hear; overhear; hear in passing
maulit,adj,1. repetitious; redundant; 2. importunate; insistent
maulol,v,become crazy or insane
maulop,adj,1. cloudy; 2. foggy; 3. hazy; 4. overcast; gloomy
maumay,v,become satiated (of a certain kind of food)
maumbok,adj,convex; protuberant; bulging; baggy
maumbong,adj,filled to overflowing
maumedo,adj,humid
maumido,adj,humid
mauna,v,1. anticipate; 2. precede; 3. be ahead
maunahan,v,1. forestall; 2. preoccupy
maunat,v,flatten; make flat
maunawaan,v,1. know; 2. realize; 3. comprehend; 4. grasp
maunawaang lubos,comp,master; understand fully
maunawain,adj,1. understanding; 2. liberal; broad-minded
maunlad,adj,1. progressive; 2. prosperous; thriving
mauntog,v,bump the head (accidentally)
mauntol,v,be suddenly stopped temporarily
maupo,v,1. be seated; seat; 2. sit (have a seat in an assembly)
maupos,v,"allow the stub of a cigarette, candle, etc. to burn out"
maurira,adj,persistently inquisitive
maurong,v,1. be postponed; 2. be revoked
mausisa,adj,scrutinising (US: scrutinizing); inquisitive
mauso,v,be in vogue
mausok,adj,smoky; sending out much smoke
mautak,adj,brainy; clever
mautal,v,1. stutter; stammer; 2. stumble in the words
mautang,adj,having many debts; sunk in debts
mautita,adj,inquisitive; curious
mauwi,v,1. develop into something else; 2. ensue
mauwi,v,redound; come back as a result
mauwido,v,play music by ear
mawaglit,v,1. be misplaced/mislaid; 2. be omitted unintentionally
mawaglit sa alaala,v,forget unintentionally
mawakli,v,1. be out of sight; 2. miss seeing because out of sight
mawala,v,1. be lost; 2. vanish; 3. disappear
mawalan,v,1. lose; 2. miss
mawalan ng bisa,v,end; lose force
mawalan ng hiya,v,lose shame; become bold
mawalan ng interes,v,lose interest; mope
mawalan ng laman,v,become empty
mawalan ng loob,v,lose one's nerve; be discouraged
mawalan ng pag-asa,v,dishearten; demoralize
mawalan ng pasyensiya,v,lose patience; become impatient
mawalan ng ulirat,v,lose consciousness
mawalang-halaga,v,be scorned; disesteem
mawalang-tiwala,v,distrust; have no trust in
mawalat,v,be destroyed; be demolished
mawalay,v,1. be separated from; wean; 2. be weaned (baby from its mother's breast)
mawaldas,v,1. be able to destroy completely; 2. be completely destroyed
mawaldas,v,1. be able to embezzle; 2. be embezzled
mawangis,v,take after; be like; resemble
mawari,v,discern; perceive; distinguish
mawasak,v,1. be dashed or ruined; 2. be smashed; 3. be wiped out
mawasto,v,be corrected
mawatasan,v,be understood; be able to comprehend
mawili,v,take a pleasant interest in; like
mawo,n,pollen
may,gram,there is; there are; has; have [quasi verb]
may asawa,adj,married; conjugal
may bakas,comp,have a trace of
may halaga,adj,costly; valuable; helpful; outstanding; useful
may hawak,comp,have control of; be in possession of
may isa,comp,certain something or someone but not named
may kalayuan,comp,at a distance; far
may kapalaluan,comp,with vain; with conceit
may kaugnayan sa saligang-batas,comp,constitutional
may kaya,adj,able; capable; competent
may kinabukasan,comp,has a future (lit.: has a tomorrow)
may kinalaman,comp,have a connection; concern; relate to
may kinalaman sa salapi,comp,pecuniary; having to do with money
may kulili ang tainga,comp,1. hard of hearing [fig.]; 2. easily confused by orders/instructions
may lunas pa,comp,remediable
may magandang-kalooban,comp,magnanimous; above small meanness
may magandang-loob,comp,kind; gracious and considerate
may maluwag na tornilyo,comp,have a screw loose (slang); be crazy
may mapusok na loob,comp,daring; fearless but reckless; bold
may masamang hangarin,comp,malicious; spiteful; showing ill will
may masamang suwerte,comp,having bad luck or bad fate
may mga larawan,comp,pictorial; illustrated by pictures
may mga mali,comp,faulty; having faults or mistakes
may mukha,n,impudence (idiomatic)
may mukhang tapat,comp,open-faced; having an honest face
may pagkalalaki,comp,virile; manly; having masculine strength
may pulong,comp,in session; meeting
may pusong mahal,comp,noble-hearted
may pusong malupit,comp,cruel-hearted
may tao,adj,somebody; someone
may tatlong bahagi,comp,tripartite; threefold
may-akda,n,author; writer
may-alarma,adj,alarm
may-alkohol,adj,alcoholic (containing alcohol)
may-ari,n,owner; proprietor
may-ari ng bahay,comp,householder
may-ari ng tindahan,comp,shop manager; owner of a store
may-armonia,adj,harmonious; having harmony (in music)
may-asawa,adj,married; conjugal
may-asin,adj,salted
may-bahay,adj,owning a house [adj.]; owner of a house [n]
may-balani,adj,magnetic
may-balat,adj,bound; covered
may-banto,adj,watered down; adulterated
may-bara,adj,clogged; blocked; barricaded
may-basag,adj,cracked
may-batubalani,adj,magnetic
may-bisa,adj,binding; in force
may-bitak,adj,cracked
may-bulaklak,adj,flowering
may-dapulak,adj,mildewed; covered with fungi; infested with aphids
may-daya,adj,done by fraud; obtained by trickery; fraudulent
may-depekto,adj,defective; faulty; imperfect
may-diperensiya,adj,defective; faulty; imperfect
may-gayak,adj,adorned; decked with ornaments
may-gulang,adj,adult
may-guwardiya,adj,closely guarded
may-halo,adj,adulterated; miexed (with something)
may-hangganan,adj,finite; having bounds or limits
may-hinanakit,adj,disgruntled; discontented
may-isip,adj,practical; having good sense
may-kaalaman,adj,"conversant; familiar with by use, etc."
may-kabal,adj,immune; protected by inoculation
may-kabatiran,adj,"conversant; familiar with by use, etc."
may-kabihasnan,adj,civilized
may-kagagawan,adj,responsible; deserving credit or blame
may-kahilingan (ang -),n,"one who applies for a job, position, etc.; applicant"
may-kahirapan,adj,awkward; not easily managed
may-kakayahan,adj,"having sufficient power, skill, etc."
may-kalakhan,adj,sizable; fairly large
may-kalakihan,adj,sizable; fairly large
may-kalinangan,adj,civilized; cultured
may-kalutasan,adj,soluble; that can be solved
may-kalyo,adj,callous; hard
may-kapahintulutan,adj,free; at liberty; permitted
may-karanasan,adj,experienced; skilful (US: skillful) through experience
may-kasalanan,adj,culpable; guilty
may-kasarinlan,adj,autonomous; self-governing
may-kasiyahan,adj,complacent; pleased with oneself
may-kasunduang pakasal,adj,engaged; pledged to marry
